quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile error,quantile error,quantile error,quantile error,quantile error,quantile error,quantile error,quantile error,median,median,median,median,median,median,median,median,median error,median error,median error,median error,median error,median error,median error,median error
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
1.0,16.389541244506837,,16.389541244506837,16.389541244506837,16.389541244506837,16.389541244506837,16.389541244506837,1.0,0.07126163282404008,,0.07126163282404008,0.07126163282404008,0.07126163282404008,0.07126163282404008,0.07126163282404008,1.0,12.432259559631348,,12.432259559631348,12.432259559631348,12.432259559631348,12.432259559631348,12.432259559631348,1.0,0.04149408811388905,,0.04149408811388905,0.04149408811388905,0.04149408811388905,0.04149408811388905,0.04149408811388905
1.0,12.451000976562502,,12.451000976562502,12.451000976562502,12.451000976562502,12.451000976562502,12.451000976562502,1.0,0.07609744409024088,,0.07609744409024088,0.07609744409024088,0.07609744409024088,0.07609744409024088,0.07609744409024088,1.0,0.02734375,,0.02734375,0.02734375,0.02734375,0.02734375,0.02734375,1.0,0.057952220380305765,,0.057952220380305765,0.057952220380305765,0.057952220380305765,0.057952220380305765,0.057952220380305765
1.0,6.8424072265625,,6.8424072265625,6.8424072265625,6.8424072265625,6.8424072265625,6.8424072265625,1.0,0.03997299102471885,,0.03997299102471885,0.03997299102471885,0.03997299102471885,0.03997299102471885,0.03997299102471885,1.0,-0.138427734375,,-0.138427734375,-0.138427734375,-0.138427734375,-0.138427734375,-0.138427734375,1.0,0.03112483457506264,,0.03112483457506264,0.03112483457506264,0.03112483457506264,0.03112483457506264,0.03112483457506264
1.0,8.359254150390626,,8.359254150390626,8.359254150390626,8.359254150390626,8.359254150390626,8.359254150390626,1.0,0.05653539884120917,,0.05653539884120917,0.05653539884120917,0.05653539884120917,0.05653539884120917,0.05653539884120917,1.0,0.044769287109375,,0.044769287109375,0.044769287109375,0.044769287109375,0.044769287109375,0.044769287109375,1.0,0.04020353247134055,,0.04020353247134055,0.04020353247134055,0.04020353247134055,0.04020353247134055,0.04020353247134055
1.0,8.422814941406255,,8.422814941406255,8.422814941406255,8.422814941406255,8.422814941406255,8.422814941406255,1.0,0.05698792265308583,,0.05698792265308583,0.05698792265308583,0.05698792265308583,0.05698792265308583,0.05698792265308583,1.0,-0.28936767578125,,-0.28936767578125,-0.28936767578125,-0.28936767578125,-0.28936767578125,-0.28936767578125,1.0,0.04043546329129249,,0.04043546329129249,0.04043546329129249,0.04043546329129249,0.04043546329129249,0.04043546329129249
1.0,8.405703125,,8.405703125,8.405703125,8.405703125,8.405703125,8.405703125,1.0,0.05869120813096096,,0.05869120813096096,0.05869120813096096,0.05869120813096096,0.05869120813096096,0.05869120813096096,1.0,-0.0355224609375,,-0.0355224609375,-0.0355224609375,-0.0355224609375,-0.0355224609375,-0.0355224609375,1.0,0.040438299401862554,,0.040438299401862554,0.040438299401862554,0.040438299401862554,0.040438299401862554,0.040438299401862554
15.0,16.84685632324219,0.5232753279877196,16.512700119018554,16.544094238281254,16.624266433715825,16.888727874755865,18.551079025268553,15.0,0.07561038237998474,0.003963114814492985,0.0686866057809219,0.0732432172572377,0.07613910010072189,0.07822560519373667,0.08233008184600266,15.0,12.779682159423828,0.41148313879966736,12.515787124633789,12.529367923736572,12.641380310058594,12.815202713012695,14.125006675720215,15.0,0.0426029856223683,0.0008853320927034951,0.041955514709364095,0.0421311655649544,0.042261657089232726,0.0426520144063886,0.04547785660895357
15.0,12.664481791178387,0.20819797972668638,12.508271484375001,12.541079406738282,12.585093994140628,12.706499023437502,13.321049804687501,15.0,0.0794909531085839,0.003057914725462558,0.07270091042442672,0.07810661375156958,0.07944335430009986,0.08106161893787789,0.08492873371326404,15.0,-0.877501904964447,0.33577167987823486,-1.7128448486328125,-1.048309326171875,-0.8109130859375,-0.613616943359375,-0.54034423828125,15.0,0.05889915950287496,0.0007098951472236475,0.05831922812805242,0.05848381385528224,0.058648252763656795,0.05904168253393023,0.06110104436924913
15.0,7.18920182291667,0.4843323813685304,6.896367187500001,6.9373193359375005,7.023193359375,7.193093261718752,8.821171875000001,15.0,0.047269111947827076,0.004207347570155182,0.041709151462383076,0.04486159520386446,0.04660313047192144,0.048010156165524176,0.059530776245416916,15.0,0.964947521686554,1.0356175899505615,-0.061431884765625,0.2605133056640625,0.72900390625,1.3143310546875,3.942138671875,15.0,0.032021405281080904,0.0010659132313043272,0.031364643479931426,0.03150727083592939,0.03166585131388396,0.031981626443037287,0.03562499005074028
15.0,8.624990061442059,0.291356464427822,8.434953613281253,8.467974853515624,8.513919677734375,8.634284439086915,9.575688476562501,15.0,0.057553305745809406,0.0027430162057505425,0.05224860563015277,0.05621304510541503,0.057504161980908464,0.05916900626592714,0.06287953758269538,15.0,0.026454735547304153,0.013586694374680519,-0.003368377685546875,0.02204132080078125,0.030689239501953125,0.0340423583984375,0.0433349609375,15.0,0.04140242611842185,0.0011854128903492057,0.0405819025661059,0.0407165032278579,0.04093173966968151,0.04146961770785301,0.045246810283080925
15.0,8.668146525065106,0.2914926158127458,8.478046264648441,8.50468780517578,8.551030273437501,8.677525329589844,9.619367675781252,15.0,0.05793345442060461,0.002530266910411656,0.05334329205289379,0.05677432052503395,0.05774730023448171,0.05941156882218479,0.061970554326318705,15.0,-0.2748667299747467,0.018316136673092842,-0.31597137451171875,-0.283416748046875,-0.2748985290527344,-0.2656421661376953,-0.231658935546875,15.0,0.04155049711173243,0.0011834510189080226,0.04076079596982902,0.04091130320121768,0.04108327463305705,0.04159104406305544,0.04543427647557266
15.0,8.576322723388673,0.20559186438307928,8.429570312500001,8.46498962402344,8.498061523437503,8.585166015625003,9.250427246093752,15.0,0.05689081282721169,0.003004407952775914,0.05239907401266386,0.055355733654661954,0.056422334433344545,0.05815155900633684,0.06444595186882829,15.0,-0.01393864955753088,0.016007892787456512,-0.042964935302734375,-0.0253753662109375,-0.016326904296875,-0.0034332275390625,0.0184326171875,15.0,0.04145452675873511,0.0009397454004142339,0.040794711125396045,0.04091739976465901,0.04112532928272224,0.041558742124422524,0.04450746991837338
15.0,17.25771699523926,0.6410179292023916,16.613827590942382,16.832721176147462,17.019185333251954,17.59249912261963,18.969742736816407,15.0,0.07789563511605521,0.005295884017655112,0.06938147171831233,0.07319952293186738,0.0788852116796086,0.08137527210939943,0.08688891228580076,15.0,13.10379695892334,0.5069734454154968,12.594301223754883,12.760168075561523,12.907479286193848,13.364259243011475,14.453572273254395,15.0,0.04348567156181539,0.0011156648100858117,0.0422275378196474,0.0427873473719431,0.043104551299224525,0.044051892800949094,0.046298452257683004
15.0,12.862716257731119,0.26351015724146254,12.575024414062502,12.681437988281253,12.778076171875,12.978751831054689,13.532371826171879,15.0,0.08207244558018492,0.005528820229606925,0.0704205407265377,0.07936509291669402,0.08157087370925353,0.08525363351461035,0.091051004848552,15.0,-1.4365723133087158,0.42236804962158203,-2.2013778686523438,-1.7463417053222656,-1.3078079223632812,-1.0894355773925781,-0.9052658081054688,15.0,0.059621929867703934,0.00085715248277205,0.05856157592483304,0.05907585730820475,0.059383335381561556,0.06003643936401115,0.06171291373905442
15.0,7.511430053710939,0.5862015820157979,6.956298828125,7.125797119140626,7.299936523437502,7.796977539062502,9.14810546875,15.0,0.04819327501392383,0.0052867523694778325,0.041105572950758784,0.04536454097487397,0.04631548840082633,0.05103120313097875,0.06287188459863202,15.0,1.5955233573913574,1.1838475465774536,0.06634521484375,0.7861194610595703,1.2109375,2.4351348876953125,4.30499267578125,15.0,0.032866652173704686,0.0012603786703977065,0.03152666345814175,0.03206277250815465,0.03252930732550873,0.03356164978253838,0.03632043873961793
15.0,8.856831665039065,0.35571311962919944,8.479802246093751,8.624534454345703,8.723673095703125,9.040498046875001,9.785954589843751,15.0,0.05830289467272145,0.0034745709698756743,0.052227779555218845,0.0556571212617234,0.05859817542267898,0.05989609272529961,0.06626134768045233,15.0,0.011071396060287952,0.017669422551989555,-0.01031494140625,-0.00128173828125,0.0079345703125,0.0192413330078125,0.05759429931640625,15.0,0.04241361961776239,0.001465438914415238,0.04083339252233776,0.04146908414664728,0.04186800350972869,0.04320316343669729,0.046175819123109224
15.0,8.881708048502608,0.35331243637993237,8.531684570312501,8.643058471679689,8.757211914062502,9.057329406738285,9.807470703125002,15.0,0.05900897110444063,0.003054237487319168,0.05408902454535358,0.057104534459579526,0.059195220345962696,0.061036486896386855,0.06391604000275741,15.0,-0.27031734585762024,0.02109469287097454,-0.321380615234375,-0.282470703125,-0.26605224609375,-0.2552490234375,-0.23846435546875,15.0,0.04251215416803522,0.0014579635205818882,0.04099607497587063,0.04153743906661783,0.04203178889514992,0.04327242791738098,0.04633044086339309
15.0,8.749662862141927,0.2572567030011975,8.476816101074219,8.584178466796878,8.660768432617187,8.879858398437502,9.439208984375,15.0,0.05734203989246609,0.003093286651993933,0.05247011685199787,0.05519978930942493,0.056429336038533506,0.059252199210001244,0.06496552381823406,15.0,-0.0052775065414607525,0.01537705771625042,-0.0382843017578125,-0.00921630859375,-0.002166748046875,0.00305938720703125,0.01696014404296875,15.0,0.04233668940235984,0.001165818800290747,0.04107548607183244,0.041570543137533195,0.04191534005723587,0.04288270084701845,0.04538614495767842
15.0,19.362881139119466,1.373755618523981,17.760404815673837,18.204343452453614,19.072187118530277,20.444453353881833,22.513126449584963,15.0,0.08670575653735994,0.006584685055767588,0.07734758454579449,0.08110495760702285,0.08630199439248187,0.09229478974962824,0.09783071490835482,15.0,14.681341171264648,1.0607223510742188,13.426776885986328,13.779800415039062,14.436988830566406,15.526042461395264,17.08606719970703,15.0,0.047481657901189474,0.0025495284483663143,0.04462887120694198,0.04547342876713553,0.046807777609452476,0.049514189835151906,0.053613035665165426
15.0,13.825343241373702,0.49948506947178506,13.208520507812505,13.443879394531253,13.660039062500001,14.221926269531252,14.98645263671875,15.0,0.08803087890118348,0.003910744433553173,0.08318559181708629,0.08600040878129622,0.08764912843974315,0.08899218266561792,0.09565152352431383,15.0,-3.2273666858673096,0.5304019451141357,-4.4215240478515625,-3.5860595703125,-3.0674591064453125,-2.7850341796875,-2.493865966796875,15.0,0.06264280468586356,0.0017170489072350695,0.06065008846481811,0.061288299285827186,0.06200573499351821,0.06393971531691166,0.0667010449563769
15.0,9.302378133138024,1.3596280237392844,7.771484375,8.1321435546875,9.088327636718752,10.322513427734375,12.395041503906254,15.0,0.06097433994125255,0.007819772535951564,0.051834927829074395,0.05405507593147485,0.060663728173125264,0.06626346785514325,0.07535279884389645,15.0,3.9762542247772217,1.7001322507858276,1.78076171875,2.516571044921875,3.6513214111328125,5.4053192138671875,7.4619140625,15.0,0.03685064099686193,0.0026250418203329043,0.03384403436496119,0.034518038548600416,0.036750521299967,0.038697258602840914,0.04266685922503532
15.0,9.987899698893232,0.7354449974081834,9.124755859375,9.36423583984375,9.820390625000003,10.582384033203127,11.649603271484377,15.0,0.06673598821154615,0.005919604996299736,0.05788560958224842,0.061902609342768145,0.06752571199637813,0.07015060373580351,0.07849300528041603,15.0,-0.01752064935863018,0.021774429827928543,-0.061004638671875,-0.024707794189453125,-0.01789093017578125,-0.00423431396484375,0.0149078369140625,15.0,0.04726344861110501,0.003175610359420693,0.043601823181071225,0.044684139553581345,0.046591051493390045,0.04980319158915886,0.054725360379313345
15.0,9.997648071289065,0.744297210209606,9.133002929687501,9.338780517578126,9.812451171875002,10.598300476074218,11.69957733154297,15.0,0.06603970353505796,0.004502647272094605,0.06074327635109711,0.0627708305189616,0.06535600119656948,0.06724269949934403,0.0780459948906298,15.0,-0.2591928541660309,0.02724330499768257,-0.326904296875,-0.2741398811340332,-0.25830078125,-0.23894119262695312,-0.22296714782714844,15.0,0.047274465572002745,0.0032179680352511864,0.043645811542488734,0.04453356249371274,0.046589440066929784,0.049936183034670456,0.0546754276447313
15.0,9.618556739807131,0.546030740270811,9.011235351562501,9.150520610809327,9.439210510253906,10.039974365234377,10.882725830078128,15.0,0.06600784207199457,0.005683294360797993,0.05694371418868194,0.06246441425055682,0.06543798397016687,0.06849315898564345,0.08029120423846692,15.0,0.016105778515338898,0.01880776509642601,-0.0130767822265625,0.0037384033203125,0.0179595947265625,0.0323333740234375,0.04395294189453125,15.0,0.04643787478486381,0.0024975567660137344,0.04357878694458482,0.04438404360388638,0.04561015114039355,0.048328853178563266,0.05227829470907649
